kind	size_bytes	sha256	snapshot_path	source
bridge_job_file	3304	f0bd953ab964b69a8f416b5efcbabc753818b10785fa22a182f919e87e192733	data_git_20260512/nv_bridge/done/nv23_image231924_c01_narrow_weak_podmr_after_ramsey_20260512_025209_image231924_c01_narrow_weak_podmr_after_ramsey_20260512_0250_execute/status.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_narrow_weak_podmr_after_ramsey_20260512_025209_image231924_c01_narrow_weak_podmr_after_ramsey_20260512_0250_execute/status.json
bridge_job_file	2091	1e5fcb38c922363f5dc60b73a18401a7d9a6953f617472e4ce7d946de5b160a5	data_git_20260512/nv_bridge/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/bridge.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/bridge.log
bridge_job_file	385	f615daf791c14119c6ff06169ca716dbd4dc9c043a65a2c04e374dd683667799	data_git_20260512/nv_bridge/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/control.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/control.json
bridge_job_file	4295	4e2ed750d48a31597a2730c34f83b95c76a1dfe83c0eaee75e0b85b4164f7cbd	data_git_20260512/nv_bridge/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/job.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/job.json
bridge_job_file	286854	4a9aacdb047f462a23db30d0f984e3473a62ac3ce78986a91d7ba9efa73fd483	data_git_20260512/nv_bridge/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/matlab_command_window.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/matlab_command_window.log
bridge_job_file	14742	1bc3ff36b902cd6da066ba2717b30326841761c46b7bd898423cd1bdff2f5397	data_git_20260512/nv_bridge/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/result.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/result.json
bridge_job_file	3122	45e697d1a1322d14da6138ee0419bc66b9d13d02a906da7486bd8e05e2d8c0fa	data_git_20260512/nv_bridge/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/status.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_ramsey_t2star_scout_20260512_012010_image231924_c01_ramsey_t2star_scout_20260512_0118_execute/status.json
bridge_job_file	2091	09436d769fc2174a50bc917e34b5b7aefded8595dfa2411725afc9df00a02522	data_git_20260512/nv_bridge/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/bridge.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/bridge.log
bridge_job_file	385	7c026a7da44138a8da08cf0af4e2f0a96fc4eec7db82d0b1837a22df21fe0eb7	data_git_20260512/nv_bridge/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/control.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/control.json
bridge_job_file	4628	729bf3505d68058089719e814dc11b60feb09cc3c713ed6358dc66d1f8119c67	data_git_20260512/nv_bridge/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/job.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/job.json
bridge_job_file	118453	a64353d4b9c9999e54fc5d1b5cd9a1ddca4ea005eb49ec125bd91bd3b372210a	data_git_20260512/nv_bridge/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/matlab_command_window.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/matlab_command_window.log
bridge_job_file	15410	447ffb7f683ce41797dfeb1e448f5b93dd665b70a20d7b1a2d21e4d5bb13447d	data_git_20260512/nv_bridge/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/result.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/result.json
bridge_job_file	3128	2e5923c736ba9c1acc905ee778128f569d44e8618c655ff4a3c0dfa322a315d1	data_git_20260512/nv_bridge/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/status.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_strong_podmr_retry1_20260512_000251_image231924_c01_strong_podmr_retry1_20260511_2359_execute/status.json
bridge_job_file	1770	ed36fb62967ac26ac9de8afa204cdc1792304ba9b8795b7e37b98ed7fb30b1cf	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_20260511_2330/bridge.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_20260511_2330/bridge.log
bridge_job_file	311	3c161e2ce321522f9e9769180ab06d30e0f70d450de80e07a4d9904687a83cf3	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_20260511_2330/control.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_20260511_2330/control.json
bridge_job_file	720	758dccf732b4f657cf0e3c6337f49b8cf72e58280139b92697c3060413f891f9	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_20260511_2330/job.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_20260511_2330/job.json
bridge_job_file	321	caecc4382c72626b648424b7955e6580042423aaaa02990b86bffacfe701f7f6	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_20260511_2330/matlab_command_window.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_20260511_2330/matlab_command_window.log
bridge_job_file	5178	b9b22708e4f2956ca7ee2635f776e7e65b83825d0d925dae9693fa4405589ef7	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_20260511_2330/result.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_20260511_2330/result.json
bridge_job_file	1687	7acf6d43d56ae4f2ca535176a3263f8e76acbeefe23edb71ef3303c0ccc939f4	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_20260511_2330/status.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_20260511_2330/status.json
bridge_job_file	1810	feb0d8bd9d385077eb5c31f33224a3a60674626f088787cf9b592932f16e53d0	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_recheck_20260511_2350/bridge.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_recheck_20260511_2350/bridge.log
bridge_job_file	319	f46db7c7bcfd6070bb1563b004fdecc9d269dd91a476df7b7660fa9b4e500498	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_recheck_20260511_2350/control.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_recheck_20260511_2350/control.json
bridge_job_file	797	d663ce0529a66429f65bd5ec409716f01a257b3bb52502ac337cfd9800dbf248	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_recheck_20260511_2350/job.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_recheck_20260511_2350/job.json
bridge_job_file	337	fa0fca91dd41bdf36bec9497128a72a5aff4c49f2dfd8a853773b3e59812a0d1	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_recheck_20260511_2350/matlab_command_window.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_recheck_20260511_2350/matlab_command_window.log
bridge_job_file	6092	b54b94ba12ac675de84b05d62fd1386af60b11878f91838676c13ba832eb8fb0	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_recheck_20260511_2350/result.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_recheck_20260511_2350/result.json
bridge_job_file	1743	c202748594024a2ef02e6be21f52013c2bef27102df087e0fc077ff37fcd4c8a	data_git_20260512/nv_bridge/done/nv23_image231924_c01_track_recheck_20260511_2350/status.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_track_recheck_20260511_2350/status.json
bridge_job_file	2037	3b467aa2547558cf98a9f35264424444fd552491ae851f5dc002e68bd2ac9927	data_git_20260512/nv_bridge/done/nv23_image231924_c01_weak_podmr_20260512_004207_image231924_c01_weak_podmr_20260512_0039_execute/bridge.log	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_weak_podmr_20260512_004207_image231924_c01_weak_podmr_20260512_0039_execute/bridge.log
bridge_job_file	367	9b053a7be70022739006f32f54ea09c0820830b289ffee5b1031701dddaf8ca0	data_git_20260512/nv_bridge/done/nv23_image231924_c01_weak_podmr_20260512_004207_image231924_c01_weak_podmr_20260512_0039_execute/control.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_weak_podmr_20260512_004207_image231924_c01_weak_podmr_20260512_0039_execute/control.json
bridge_job_file	4694	a1875ffe62d48f6143648925f861a2eb7da017de44f3d3480f72bbcada616cb2	data_git_20260512/nv_bridge/done/nv23_image231924_c01_weak_podmr_20260512_004207_image231924_c01_weak_podmr_20260512_0039_execute/job.json	<NV_BRIDGE_ROOT>/done/nv23_image231924_c01_weak_podmr_20260512_004207_image231924_c01_weak_podmr_20260512_0039_execute/job.json
